category,processed_message
spam,goal arsenal 4 henry 7 v liverpool 2 henry scores simple shot 6 yards pass bergkamp give arsenal 2 goal margin 78 mins
ham,said gon na snow start around 8 9 pm tonite predicting inch accumulation
ham,aah bless arm
ham,oh come tomorrow
ham,happening gotten job begun registration permanent residency
ham,quite ok bit ex u better go eat smth else feel guilty
spam,want new video phone 600 anytime network mins 400 inclusive video calls downloads 5 per week free deltomorrow call 08002888812 reply
ham,dont want hear anything
ham,hi kate u give ring asap xxx
ham,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt
ham,pls give food preferably pap slowly loads sugar take hour give water slowly
ham,means still think teju
spam,free 1st week no1 nokia tone 4 ur mobile every week txt nokia 8077 get txting tell ur mates pobox 36504 w45wq
ham,hey next sun 1030 basic yoga course bugis go pilates intro next sat tell time r free
spam,1 new message please call 08718738034
ham,told coming wednesday
ham,eatin lunch
ham,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wishes
spam,send logo 2 ur lover 2 names joined heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ads 150p
spam,get 3 lions england tone reply lionm 4 mono lionp 4 poly 4 go 2 original n best tones 3gbp network operator rates apply
ham,tot u reach liao said
ham,u u 2 u b moving flat cos need arrange pick lamp etc take care hello caroline
ham,weird know one point
spam,chance win free bluetooth headset simply reply back adp
ham,dai da send resume id
spam,donate unicef asian tsunami disaster support fund texting donate 864233 added next bill
ham,ummmmmaah many many happy returns day dear sweet heart happy birthday dear
ham,money issue weigh thanks breathe easier make sure dont regret thanks
ham,watching surya movie 6 pm vijay movie pokkiri
ham,toshiba portege m100 gd
ham,ok lor wat time ü finish
spam,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join uk largest dogging network txting moan 69888nyt ec2a 150p
spam,dating two started sent text talk sport radio last week connection think coincidence
ham,whats coming hill monster hope great day things r going fine busy though
ham,sometimes put walls around hearts safe getting hurt find cares enough break walls amp get closer goodnoon
ham,nothing much chillin home super bowl plan
ham,hope result consistently intelligent kind start asking practicum links keep ears open best ttyl
ham,need drug anymore
spam,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,shall come get pickle
ham,hi always online yahoo would like chat someday
ham,buy blackberry bold 2 torch buy new used let know plus saying buy lt gt g wifi ipad saying lt gt g
ham,got c lazy type forgot ü lect saw pouch like v nice
ham,kinda first one gets twelve aah speak tomo
spam,free camera phones linerental 750 cross ntwk mins price txt bundle deals also avble call 08001950382 mf
ham,yup song bro creative neva test quality said check review online
ham,gorgeous keep pix cumming thank
ham,hope good week checking
ham,dear chechi talk
ham,get step 2 outta way congrats
ham,thinking chuckin ur red green n black trainners 2 save carryin bac train
ham,den wat e schedule b lk sun
ham,nice new shirts thing wear nudist themed mu
ham,point hangin mr right makin u happy
ham,hey free call
ham,u wearing
ham,aslamalaikkum insha allah tohar beeen muht albi mufti mahfuuz meaning
spam,someone u know asked dating service 2 contact cant guess call 09058091854 revealed po box385 m6 6wu
ham,u lunch alone bored
ham,u town alone
spam,call 09095350301 send girls erotic ecstacy stop texts call 08712460324 nat rate
ham,love come took long leave zaher got words ym happy see sad left miss
ham,yeah got one lined us
ham,really skateboarding despite fact gets thrown winds bandages shit arms every five minutes
ham,ok
ham,mind ask happened dont say uncomfortable
ham,maybe pressies
ham,honeybee said sweetest world god laughed amp said wait u havnt met person reading msg moral even god crack jokes
ham,got meh
ham,otherwise part time job
ham,catches put
spam,brand new mobile music service live free music player arrive shortly install phone browse content top artists
ham,sorry took long omw
ham,lol grr mom taking forever prescription pharmacy like 2 minutes away ugh
ham,de looking good
ham,thk 50 shd ok said plus minus 10 ü leave line paragraphs
ham,uncle g checking rewarding month
ham,working
ham,good stuff
spam,sports fans get latest sports news str 2 ur mobile 1 wk free plus free tone txt sport 8007 norm
ham,thinkin someone good drugs
ham,today going college able atten class
ham,badrith chennai surely pick us competition
ham,haha yeah 2 oz kind shitload
ham,reassuring crazy world
ham,maybe say hi find got card great escape wetherspoons
ham,gon na blake night might able get little early
ham,one good partnership going take lead
ham,oh getting even u u
ham,get hep b immunisation nigeria
ham,watching house entertaining getting whole hugh laurie thing even stick indeed especially stick
ham,imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
spam,ur currently 500 pounds maximize ur send cash 86688 cc 08718720201 po box
ham,nice line said broken plz cum 1 times infront wise trust u good 9t
ham,sorry never hear unless book one kinda joke thet really looking skinny white girls one line much camera something like casting look
ham,sorry call later
ham,dear know lt gt th lt gt th birthday loving gopalettan planning give small gift day like participate welcome please contact admin team details
ham,wewa iriver 128 mb
ham,lt gt ish minutes 5 minutes ago wtf
ham,eat fo lunch senor
ham,dunno lei ü decide lor abt leona oops tot ben going n msg
ham,prakesh know
ham,much cost approx per month
spam,free message activate 500 free text messages replying message word free terms conditions visit
ham,hi yijue regarding 3230 textbook intro algorithms second edition selling 50
ham,problem baby good time talk called left message
ham,guys
ham,time think need know near campus
ham,ok great thanx lot
ham,download clear movies dvd copies
ham,thanks understanding trying tell sura
spam,urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18
ham,maybe westshore hyde park village place near house
spam,dear voucher holder next meal us use following link pc 2 enjoy 2 4 1 dining experiencehttp
